Zone,Population,Scenario 2 (24% willing to evacuate),Scenario 2 divided by 15 hours,2 - Evacuate by bus (27%) = x,buses needed for evac (60 ppl per bus),y (bus2) = -0.0028x + 30.991,fraction of max speed (y/30.991),travel time = free flow travel time (below)/fraction of speed,2 - Evacuate by car (57%),y (car) = -0.0028xc + 30.991,fraction of max speed (y/30.991),travel time = free flow travel time (below)/fraction of speed,2 - Evacuate by other (16%)
1,80879,19411,1294.064,349,6,30.013,0.9684,27.5,738,28.92567386,0.9333572281,4.8,207.05024
2,46692,11206,747.072,202,3,30.426,0.9818,22.9,426,29.79867309,0.9615266719,6.1,119.53152
3,30665,7360,490.64,132,2,30.62,0.988,30.4,280,30.20793856,0.9747326179,5.8,78.5024
4,60793,14590,972.688,263,4,30.256,0.9763,22.5,554,29.43858995,0.9499077136,5.3,155.63008
5,32185,7724,514.96,139,2,30.602,0.9874,17.2,294,30.16912384,0.9734801665,4.9,82.3936
6,36185,8684,578.96,156,3,30.553,0.9859,30.4,330,30.06697984,0.9701842419,6,92.6336
7,25908,6218,414.528,112,2,30.678,0.9899,40.4,236,30.32941331,0.9786522962,5.8,66.32448
8,46399,11136,742.384,200,3,30.43,0.9819,29.5,423,29.80615514,0.9617680984,13,118.78144
9,38788,9309,620.608,168,3,30.522,0.9849,19.3,354,30.00050963,0.9680394189,3.9,99.29728
10,29693,7126,475.088,128,2,30.632,0.9884,19.2,271,30.23275955,0.9755335275,5.3,76.01408
11,27530,6607,440.48,119,2,30.658,0.9893,27.3,251,30.28799392,0.9773157988,5.1,70.4768
12,15883,3812,254.128,69,1,30.799,0.9938,24.1,145,30.58541171,0.9869127073,2.9,40.66048